canonical_family,source_doc,marca,tipo_documento,segment,completeness,tiene_regla_canonizacion,canonical_label,preferred_lookup_text,encontrado_en_inventario,busqueda_usada,referencia_erp,descripcion_erp,stock_total,status
ACCENT,Ficha Tecnica Accent.pdf,,ficha_tecnica,herrajes_seguridad,0.7500,NO,,,SI,ACCENT,5891888,P7 KOR PRO 550 MAT BA ACCEN 27477 18.93L,274.0,INVENTARIO_SIN_CANON
ACRILICA BASE AGUA UDA600 ES,ACRILICA BASE AGUA UDA600 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.9167,NO,,,SI,ACRILICA BASE AGUA UDA600 ES,5891758,ACRILICA BASE AGUA UDA600/3.7L/AA7,12.0,INVENTARIO_SIN_CANON
ACRILICA MANTENIMIENTO ES,ACRILICA MANTENIMIENTO [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.8333,NO,,,SI,ACRILICA MANTENIMIENTO ES,5893169,ACRILICA MANT BRILL 11A44A/3.7L/AA7,41.0,INVENTARIO_SIN_CANON
AJUSTADOR ECONOMICO UNIVERSAL FT 21126,AJUSTADOR ECONÓMICO UNIVERSAL FT 21126.PDF,,ficha_tecnica,auxiliares_aplicacion,0.6667,NO,,,SI,AJUSTADOR ECONOMICO UNIVERSAL FT 21126,F0116621209,AJUSTADOR PINT EPOX BOTELLA 209,280.5,INVENTARIO_SIN_CANON
AJUSTADOR PARA EPOXICAS 21209,AJUSTADOR PARA EPOXICAS 21209.pdf,,ficha_tecnica,auxiliares_aplicacion,0.4167,NO,,,SI,AJUSTADOR PARA EPOXICAS 21209,5891067,MPY AJUSTADOR 21209 UFA153/20L/AA7,14.0,INVENTARIO_SIN_CANON
AJUSTADOR PARA LIMPIEZA DE SUPERFICIES METALICAS 21242,AJUSTADOR PARA LIMPIEZA DE SUPERFICIES METALICAS 21242.pdf,,ficha_tecnica,auxiliares_aplicacion,0.7500,NO,,,SI,AJUSTADOR PARA LIMPIEZA DE SUPERFICIES METALICAS 21242,5891067,MPY AJUSTADOR 21209 UFA153/20L/AA7,14.0,INVENTARIO_SIN_CANON
AJUSTADOR PARA POLIURETANO 21116,AJUSTADOR PARA POLIURETANO 21116.pdf,,ficha_tecnica,auxiliares_aplicacion,0.6667,NO,,,SI,AJUSTADOR PARA POLIURETANO 21116,5892179,MH AJUSTADOR PARA EQUIPOS 21125 208.2L,0.0,INVENTARIO_SIN_CANON
AJUSTADOR XILOL 21204,AJUSTADOR XILOL 21204.pdf,,ficha_tecnica,auxiliares_aplicacion,0.7500,NO,,,SI,AJUSTADOR XILOL 21204,5891066,AJUSTADOR XILOL 21204 GTA007/20L/AA7,6.0,INVENTARIO_SIN_CANON
ALTAS TEMPERATURAS 901 UEA750 ES,ALTAS TEMPERATURAS 901 UEA750 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.9167,SI,Altas Temperaturas,altas temperaturas,SI,altas temperaturas,5893700,PQ AEROCOLOR ALTAS TEMP BR ALUMINIO 0.3L,178.0,OK_COMPLETO
ALTAS TEMPERATURAS 902 UEA800 ES,ALTAS TEMPERATURAS 902 UEA800 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.9167,SI,Altas Temperaturas,altas temperaturas,SI,altas temperaturas,5893700,PQ AEROCOLOR ALTAS TEMP BR ALUMINIO 0.3L,178.0,OK_COMPLETO
ALTAS TEMPERATURAS 904 UEA850 ES,ALTAS TEMPERATURAS 904 UEA850 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.8333,SI,Altas Temperaturas,altas temperaturas,SI,altas temperaturas,5893700,PQ AEROCOLOR ALTAS TEMP BR ALUMINIO 0.3L,178.0,OK_COMPLETO
ALTAS TEMPERATURAS 905 UEA900 ES,ALTAS TEMPERATURAS 905 UEA900 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.9167,SI,Altas Temperaturas,altas temperaturas,SI,altas temperaturas,5893700,PQ AEROCOLOR ALTAS TEMP BR ALUMINIO 0.3L,178.0,OK_COMPLETO
ARENA QUARZO G300N UFA850 ES,ARENA QUARZO G300N UFA850 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.6667,NO,,,SI,ARENA QUARZO G300N UFA850 ES,5891610,ARENA QUARZO G300N UFA850/25KG/AA7,29.0,INVENTARIO_SIN_CANON
B 350,Ficha Tecnica B-350.pdf,,ficha_tecnica,herrajes_seguridad,0.6667,NO,,,SI,B 350,F51060575,DIABLO ROJO UNIDAD 350 GR,275.0,INVENTARIO_SIN_CANON
B 352,Ficha Tecnica B-352.pdf,,ficha_tecnica,herrajes_seguridad,0.6667,NO,,,SI,B 352,5890779,TE VINIL MAX MAT BLANCO 35232 3.79L,99.0,INVENTARIO_SIN_CANON
B 360,Ficha Tecnica B-360.pdf,,ficha_tecnica,herrajes_seguridad,0.6667,NO,,,SI,B 360,5891597,PQ CANCHAS MAT BASE ACCENT 1876 18.93L,57.0,INVENTARIO_SIN_CANON
B 362,Ficha Tecnica B-362.pdf,,ficha_tecnica,herrajes_seguridad,0.6667,NO,,,SI,B 362,5894362,ZP MONTANA 94 MAT AZUL O EX0145005M 0.4L,46.0,INVENTARIO_SIN_CANON
B 362 ULTRA,Ficha Tecnica B-362 ULTRA.pdf,,ficha_tecnica,herrajes_seguridad,0.7500,NO,,,SI,B 362 ULTRA,5894362,ZP MONTANA 94 MAT AZUL O EX0145005M 0.4L,46.0,INVENTARIO_SIN_CANON
BALL,Ficha Tecnica Ball.pdf,,ficha_tecnica,herrajes_seguridad,0.4167,NO,,,SI,BALL,F51060500,BALL A50WS ALCOBA NEGRO MATE,9.0,INVENTARIO_SIN_CANON
BELL WOOD,Ficha Tecnica Bell Wood.pdf,,ficha_tecnica,herrajes_seguridad,0.7500,NO,,,SI,BELL WOOD,F6014106,BELL WOOD GOLD A50WS ALCOBA,15.0,INVENTARIO_SIN_CANON
BISAGRAS DE PISO,Ficha Técnica Bisagras de Piso.pdf,,ficha_tecnica,herrajes_seguridad,0.5833,NO,,,NO,BISAGRAS DE PISO,,,0,SIN_MAPEO
BROCHA PROFESIONAL PLASTICO BLANCA PINTUCO,BROCHA PROFESIONAL PLASTICO BLANCA PINTUCO.PDF,Pintuco,ficha_tecnica,recubrimientos_pinturas,0.7500,NO,,,SI,BROCHA PROFESIONAL PLASTICO BLANCA PINTUCO,6441629,BROCHA PROF PLASTICO BCA 2.5 PUL PINTUCO,601.0,INVENTARIO_SIN_CANON
C999,Ficha Técnica C999.pdf,,ficha_tecnica,herrajes_seguridad,0.5000,NO,,,SI,C999,F6014111,CERRADURA SOBREPONER C999 DERC,6.0,INVENTARIO_SIN_CANON
C999 ULTRA,Ficha Técnica C999 ULTRA.pdf,,ficha_tecnica,herrajes_seguridad,0.4167,NO,,,SI,C999 ULTRA,F6014143,CERRADURA C999 ULTRA IZQU,5.0,INVENTARIO_SIN_CANON
CENTURY,Ficha Tecnica Century.pdf,,ficha_tecnica,herrajes_seguridad,0.7500,NO,,,NO,CENTURY,,,0,SIN_MAPEO
CERRADURA A70PD,Ficha Tecnica Cerradura A70PD.pdf,,ficha_tecnica,herrajes_seguridad,0.7500,NO,,,SI,CERRADURA A70PD,F6014108,CERRADURA SOBREPONER MEGA IZQ,147.0,INVENTARIO_SIN_CANON
CERRADURAS DE MUEBLE,Ficha Técnica Cerraduras de Mueble.pdf,,ficha_tecnica,herrajes_seguridad,0.5833,NO,,,NO,CERRADURAS DE MUEBLE,,,0,SIN_MAPEO
CINTA AUTOMOTRIZ PREMIER RED,Ficha Técnica Cinta Automotriz Premier Red.pdf,,ficha_tecnica,herramientas_accesorios,0.6667,NO,,,SI,CINTA AUTOMOTRIZ PREMIER RED,F51060033,CINTA AUTOMOTRIZ PREMIER RED 12MMX55M,0.0,INVENTARIO_SIN_CANON
CINTA AZUL PROFESIONAL PINTUCO 40 YDS,CINTA AZUL PROFESIONAL PINTUCO 40 YDS.PDF,Pintuco,ficha_tecnica,recubrimientos_pinturas,0.7500,NO,,,SI,CINTA AZUL PROFESIONAL PINTUCO 40 YDS,F90005,CINTA SMITH GEN. DE 1/2 * 40M,933.0,INVENTARIO_SIN_CANON
COPA DOBLE HILERA 115MM CODIGO 70184607602,Ficha tecnica  Copa doble hilera 115mm codigo 70184607602 (1).pdf,,ficha_tecnica,herrajes_seguridad,0.6667,NO,,,SI,COPA DOBLE HILERA 115MM CODIGO 70184607602,F51060458,COPA 5X2 C100 ABRACOL,10.0,INVENTARIO_SIN_CANON
COPA T11 CLASSIC 127X51X14MM,Ficha tecnica  COPA T11  CLASSIC  127x51x14mm.pdf,,ficha_tecnica,herrajes_seguridad,0.5833,NO,,,SI,COPA T11 CLASSIC 127X51X14MM,F51060458,COPA 5X2 C100 ABRACOL,10.0,INVENTARIO_SIN_CANON
COPA T11 CODIGO 66253141093,Ficha tecnica  COPA T11  CODIGO -  66253141093.pdf,,ficha_tecnica,herrajes_seguridad,0.5000,NO,,,SI,COPA T11 CODIGO 66253141093,F51060458,COPA 5X2 C100 ABRACOL,10.0,INVENTARIO_SIN_CANON
DISCO DE CORTE BNA12 115X1 6MM CODIGO 66252843680,"Ficha técnica Disco  de Corte BNA12  115x1,6mm código 66252843680.pdf",,ficha_tecnica,herramientas_accesorios,0.5833,NO,,,SI,DISCO DE CORTE BNA12 115X1 6MM CODIGO 66252843680,5893497,ZP MONTANA 94 MAT ROSA D EX0140277M 0.4L,31.0,INVENTARIO_SIN_CANON
DISCOS FLAP CLASSIC,Ficha técnica Discos Flap Classic.pdf,,ficha_tecnica,herramientas_accesorios,0.5000,NO,,,NO,DISCOS FLAP CLASSIC,,,0,SIN_MAPEO
DISCOS VELCRO PREMIER RED 150MM,Ficha técnica Discos velcro  premier red  150mm.pdf,,ficha_tecnica,herramientas_accesorios,0.5833,NO,,,NO,DISCOS VELCRO PREMIER RED 150MM,,,0,SIN_MAPEO
ELEGANCE,Ficha Tecnica Elegance.pdf,,ficha_tecnica,herrajes_seguridad,0.7500,NO,,,NO,ELEGANCE,,,0,SIN_MAPEO
EPOXICA BASE AGUA PINTUCO,EPOXICA BASE AGUA PINTUCO.pdf,Pintuco,ficha_tecnica,recubrimientos_pinturas,1.0000,NO,,,SI,EPOXICA BASE AGUA PINTUCO,5891270,P7  PINTUCOAT 13227 COMP B 0.37L,115.0,INVENTARIO_SIN_CANON
EPOXI POLIAMIDA ES,EPOXI POLIAMIDA [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.8333,NO,,,SI,EPOXI POLIAMIDA ES,5890362,EPOXI POLIAMIDA 13229 UFA409/1L/AA7,37.0,INVENTARIO_SIN_CANON
EPOXY COAL TAR FREE UDA800 UDA801 ES,EPOXY COAL TAR FREE UDA800-UDA801  [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.9167,NO,,,SI,EPOXY COAL TAR FREE UDA800 UDA801 ES,5890548,EPOXY PRIMER 10050 UEA301/3.7L/AA7,30.0,INVENTARIO_SIN_CANON
EPOXY ESTRUCTURAS UEA550 UEA551 UEA552 ES,EPOXY ESTRUCTURAS UEA550-UEA551-UEA552 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.9167,NO,,,SI,EPOXY ESTRUCTURAS UEA550 UEA551 UEA552 ES,5890548,EPOXY PRIMER 10050 UEA301/3.7L/AA7,30.0,INVENTARIO_SIN_CANON
EPOXY HS 13200 UEA203 13233 UEA204 ES,EPOXY HS 13200  UEA203-13233 UEA204 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.9167,NO,,,SI,EPOXY HS 13200 UEA203 13233 UEA204 ES,5891072,EPOXY HS 13200 UEA203/20L/AA7,0.0,INVENTARIO_SIN_CANON
EPOXY PRIMER 10050 UEA301 UEA302 ES,EPOXY PRIMER 10050 UEA301 - UEA302 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.9167,NO,,,SI,EPOXY PRIMER 10050 UEA301 UEA302 ES,5890548,EPOXY PRIMER 10050 UEA301/3.7L/AA7,30.0,INVENTARIO_SIN_CANON
EPOXY PRIMER 10070 UEA351 13350 UEA352 ES,EPOXY PRIMER 10070  UEA351-13350 UEA352 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.9167,NO,,,SI,EPOXY PRIMER 10070 UEA351 13350 UEA352 ES,5890548,EPOXY PRIMER 10050 UEA301/3.7L/AA7,30.0,INVENTARIO_SIN_CANON
EPOXY PRIMER 50RS UEA400 UEA401 UEA402 ES,EPOXY PRIMER 50RS UEA400-UEA401-UEA402 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.9167,NO,,,SI,EPOXY PRIMER 50RS UEA400 UEA401 UEA402 ES,5891421,EPOXY PRIMER 50RS UEA400/3.7L/AA7,6.0,INVENTARIO_SIN_CANON
EPOXY PRIMER 70RS UEA500 UEA501 ES,EPOXY PRIMER 70RS  UEA500-UEA501 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.8333,NO,,,SI,EPOXY PRIMER 70RS UEA500 UEA501 ES,5890548,EPOXY PRIMER 10050 UEA301/3.7L/AA7,30.0,INVENTARIO_SIN_CANON
EPOXY ZINC PRIMER 10055 UEA650 10056 UEA651 13267 UEA652 ES,EPOXY ZINC PRIMER 10055 UEA650 - 10056 UEA651- 13267 UEA652 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.8333,NO,,,SI,EPOXY ZINC PRIMER 10055 UEA650 10056 UEA651 13267 UEA652 ES,5890548,EPOXY PRIMER 10050 UEA301/3.7L/AA7,30.0,INVENTARIO_SIN_CANON
ESMALTE MAQUINARIA 11271 UFA102 ES,ESMALTE MAQUINARIA 11271 UFA102 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.7500,NO,,,SI,ESMALTE MAQUINARIA 11271 UFA102 ES,5890620,ESMALTE MAQUINARIA 11271 UFA102/3.7L/AA7,12.0,INVENTARIO_SIN_CANON
ESMALTE POLIURETANO 113XX 11351 ES,ESMALTE POLIURETANO 113XX-11351 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.9167,NO,,,SI,ESMALTE POLIURETANO 113XX 11351 ES,5890570,ESM POLIURETANO 11351 UFA450/3.7L/AA7,2.0,INVENTARIO_SIN_CANON
FALCON F 19,Ficha Técnica Falcon F-19 (1).pdf,,ficha_tecnica,herrajes_seguridad,0.5000,NO,,,NO,FALCON F 19,,,0,SIN_MAPEO
FLAIR,Ficha Tecnica Flair.pdf,,ficha_tecnica,herrajes_seguridad,0.7500,NO,,,NO,FLAIR,,,0,SIN_MAPEO
FT INTERLINE 399,FT INTERLINE 399.pdf,,ficha_tecnica,recubrimientos_pinturas,0.6667,NO,,,SI,FT INTERLINE 399,5854977,PQ COLORANTE BAJO VOC AZUL 0.95L,254.0,INVENTARIO_SIN_CANON
GUIA SISTEMAS MANTENIMIENTO INDUSTRIA SEP2025,GUIA-Sistemas Mantenimiento Industria_Sep2025 (2).pdf,,guia_solucion,recubrimientos_pinturas,0.5833,NO,,,NO,GUIA SISTEMAS MANTENIMIENTO INDUSTRIA SEP2025,,,0,SIN_MAPEO
H100 BALL,Ficha Tecnica H100 Ball.pdf,,ficha_tecnica,herrajes_seguridad,0.7500,NO,,,NO,H100 BALL,,,0,SIN_MAPEO
H100 JUPITER,Ficha Tecnica H100 Júpiter.pdf,,ficha_tecnica,herrajes_seguridad,0.7500,NO,,,NO,H100 JUPITER,,,0,SIN_MAPEO
HINGES 5PB1 5BB1,Hinges 5PB1_5BB1.pdf,,ficha_tecnica,herrajes_seguridad,0.4167,NO,,,NO,HINGES 5PB1 5BB1,,,0,SIN_MAPEO
H ORBIT,Ficha Tecnica H Orbit.pdf,,ficha_tecnica,herrajes_seguridad,0.7500,NO,,,NO,H ORBIT,,,0,SIN_MAPEO
INHIBIDOR FLASH RUST 10076 UEA700 ES,INHIBIDOR FLASH RUST 10076 UEA700 [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.7500,NO,,,NO,INHIBIDOR FLASH RUST 10076 UEA700 ES,,,0,SIN_MAPEO
INTERCHAR 2060 ES,INTERCHAR 2060 [ES] (1).pdf,Interchar,ficha_tecnica,recubrimientos_pinturas,0.6667,SI,Interchar,interchar,SI,interchar,5250528,INTERCHAR 2060 HFA060/20L/EU,1.0,OK_COMPLETO
INTERGARD2002 ES,INTERGARD2002 [ES] (1).pdf,Intergard,ficha_tecnica,recubrimientos_pinturas,0.9167,SI,Intergard,intergard,SI,intergard,5897961,INTERGARD 740 ECA011/3.7L/AA7,100.0,OK_COMPLETO
INTERGARD 251,INTERGARD 251.pdf,Intergard,ficha_tecnica,recubrimientos_pinturas,0.6667,SI,Intergard,intergard,SI,intergard,5897961,INTERGARD 740 ECA011/3.7L/AA7,100.0,OK_COMPLETO
INTERGARD 475HS,INTERGARD 475HS.pdf,Intergard,ficha_tecnica,recubrimientos_pinturas,0.8333,SI,Intergard,intergard,SI,intergard,5897961,INTERGARD 740 ECA011/3.7L/AA7,100.0,OK_COMPLETO
INTERGARD 740,Intergard 740 (2).pdf,Intergard,ficha_tecnica,recubrimientos_pinturas,0.8333,SI,Intergard 740,intergard 740,SI,intergard 740,5897961,INTERGARD 740 ECA011/3.7L/AA7,100.0,OK_COMPLETO
INTERLINE 850,INTERLINE 850.pdf,,ficha_tecnica,recubrimientos_pinturas,0.5833,NO,,,NO,INTERLINE 850,,,0,SIN_MAPEO
INTERLINE 859,INTERLINE 859.pdf,,ficha_tecnica,herramientas_accesorios,0.7500,NO,,,NO,INTERLINE 859,,,0,SIN_MAPEO
INTERLINE 975P,INTERLINE 975P.pdf,,ficha_tecnica,recubrimientos_pinturas,0.6667,NO,,,NO,INTERLINE 975P,,,0,SIN_MAPEO
INTERLINE 975P ES,INTERLINE-975P [ES].pdf,,ficha_tecnica,herramientas_accesorios,0.7500,NO,,,NO,INTERLINE 975P ES,,,0,SIN_MAPEO
INTERNATIONAL 21204,INTERNATIONAL 21204.pdf,International,ficha_tecnica,recubrimientos_pinturas,0.6667,NO,,,SI,INTERNATIONAL 21204,5891066,AJUSTADOR XILOL 21204 GTA007/20L/AA7,6.0,INVENTARIO_SIN_CANON
INTERSEAL 1509 SPANISH,Interseal 1509 - Spanish.pdf,Interseal,ficha_tecnica,recubrimientos_pinturas,0.7500,SI,Interseal,interseal,SI,interseal,5893595,INTERSEAL 670HS EGA105/3.7L/AA7,84.0,OK_COMPLETO
INTERSEAL 670HS,INTERSEAL 670HS.pdf,Interseal,ficha_tecnica,recubrimientos_pinturas,0.6667,SI,Interseal,interseal,SI,interseal,5893595,INTERSEAL 670HS EGA105/3.7L/AA7,84.0,OK_COMPLETO
INTERSEAL 670HS EN,INTERSEAL 670HS [EN] (1).pdf,Interseal,ficha_tecnica,recubrimientos_pinturas,0.8333,SI,Interseal,interseal,SI,interseal,5893595,INTERSEAL 670HS EGA105/3.7L/AA7,84.0,OK_COMPLETO
INTERSHIED 6GV,INTERSHIED 6GV.pdf,,ficha_tecnica,herrajes_seguridad,0.6667,NO,,,NO,INTERSHIED 6GV,,,0,SIN_MAPEO
INTERSHIELD 300,INTERSHIELD 300.pdf,,ficha_tecnica,recubrimientos_pinturas,0.6667,NO,,,NO,INTERSHIELD 300,,,0,SIN_MAPEO
INTERTHANE 990,INTERTHANE 990.pdf,Interthane,ficha_tecnica,recubrimientos_pinturas,0.7500,SI,Interthane 990 + Catalizador,interthane 990,SI,interthane 990,5898967,INTERTHANE 990 PHA046/0.5L/AA7,65.0,OK_COMPLETO
INTERTHERM 3350,INTERTHERM 3350.pdf,,ficha_tecnica,herramientas_accesorios,0.6667,NO,,,NO,INTERTHERM 3350,,,0,SIN_MAPEO
INTERTUF 262,INTERTUF 262.pdf,,ficha_tecnica,recubrimientos_pinturas,0.8333,NO,,,NO,INTERTUF 262,,,0,SIN_MAPEO
INTERZONE 954,INTERZONE 954.pdf,Interzone,ficha_tecnica,recubrimientos_pinturas,0.7500,NO,,,NO,INTERZONE 954,,,0,SIN_MAPEO
ISO 12944 ES,ISO 12944 [ES] (1).pdf,,ficha_tecnica,recubrimientos_pinturas,0.8333,NO,,,SI,ISO 12944 ES,51006125,VARSOL EN BOTELLAS,994.5,INVENTARIO_SIN_CANON
JUPITER,Ficha Tecnica Júpiter.pdf,,ficha_tecnica,herrajes_seguridad,0.7500,NO,,,SI,JUPITER,F6014103,JUPITER CROMADO MATE A40S BAÑO,23.0,INVENTARIO_SIN_CANON
LIJA PREMIER RED HOJAS,Ficha tecnica Lija Premier Red - hojas.pdf,,ficha_tecnica,herramientas_accesorios,0.5833,NO,,,SI,LIJA PREMIER RED HOJAS,F51059968,LIJA SECA PREMIER RED 9X11 GRANO #150,2526.0,INVENTARIO_SIN_CANON
MASTIC EPOXY ES,MASTIC EPOXY [ES].pdf,,ficha_tecnica,recubrimientos_pinturas,0.8333,NO,,,SI,MASTIC EPOXY ES,5891072,EPOXY HS 13200 UEA203/20L/AA7,0.0,INVENTARIO_SIN_CANON
MEGA,Ficha Técnica Mega.pdf,Mega,ficha_tecnica,herrajes_seguridad,0.5833,NO,,,SI,MEGA,F6514520,LIJA OMEGA #150,5031.0,INVENTARIO_SIN_CANON
MEGA INSTA FACIL,Ficha Técnica Mega Insta-Fácil.pdf,Mega,ficha_tecnica,herrajes_seguridad,0.6667,NO,,,SI,MEGA INSTA FACIL,F6514520,LIJA OMEGA #150,5031.0,INVENTARIO_SIN_CANON
OJOS MAGICOS,Ficha Técnica Ojos Mágicos.pdf,,ficha_tecnica,herrajes_seguridad,0.5833,NO,,,NO,OJOS MAGICOS,,,0,SIN_MAPEO
ORBIT,Ficha Tecnica Orbit.pdf,,ficha_tecnica,herrajes_seguridad,0.7500,NO,,,NO,ORBIT,,,0,SIN_MAPEO
ORION,orion .pdf,,ficha_tecnica,herrajes_seguridad,0.6667,NO,,,NO,ORION,,,0,SIN_MAPEO
PINTUBOAT 4118 UDA300 4119 UDA302 4120 UDA30 ES,PINTUBOAT 4118 UDA300-4119 UDA302-4120 UDA30 [ES].pdf,,ficha_tecnica,herrajes_seguridad,0.9167,NO,,,NO,PINTUBOAT 4118 UDA300 4119 UDA302 4120 UDA30 ES,,,0,SIN_MAPEO
PINTUCO ACRILICA PARA MANTENIMIENTO,ACRILICA PARA MANTENIMIENTO.pdf,Pintuco,ficha_tecnica,recubrimientos_pinturas,0.8333,NO,,,SI,PINTUCO ACRILICA PARA MANTENIMIENTO,5893169,ACRILICA MANT BRILL 11A44A/3.7L/AA7,41.0,INVENTARIO_SIN_CANON
PINTUCO ACRILTEX VINILTEX,ACRILTEX VINILTEX.pdf,Pintuco,ficha_tecnica,recubrimientos_pinturas,0.8333,NO,,,SI,PINTUCO ACRILTEX VINILTEX,5890434,PQ VINILTEX BYC SA BLANCO 2001 0.95L,65.0,INVENTARIO_SIN_CANON
PINTUCO ACUALUX,ACUALUX.pdf,Pintuco,ficha_tecnica,recubrimientos_pinturas,0.8333,NO,,,SI,PINTUCO ACUALUX,5890745,PQ PINTULUX ACUALUX SB ACCEN 27777 3.79L,41.0,INVENTARIO_SIN_CANON
PINTUCO AEROCOLOR ALTAS TEMPERATURAS,AEROCOLOR ALTAS TEMPERATURAS.pdf,Pintuco,ficha_tecnica,recubrimientos_pinturas,0.8333,SI,Altas Temperaturas,altas temperaturas,SI,altas temperaturas,5893700,PQ AEROCOLOR ALTAS TEMP BR ALUMINIO 0.3L,178.0,OK_COMPLETO
